timestamp,open,high,low,close,volume
2022-03-15,2.07,3.45,2.07,2.21,1721.6
2022-03-16,2.21,2.24,2.15,2.19,202.8
2022-03-17,2.19,2.21,2.16,2.16,345.3
2022-03-18,2.16,2.25,2.13,2.25,270.8
2022-03-19,2.36,2.36,2.18,2.19,93.9
2022-03-20,2.19,2.19,2.14,2.16,71.5
2022-03-21,2.16,2.16,2.14,2.14,13.8
2022-03-22,2.14,2.14,2.14,2.14,6.1
2022-03-23,2.14,2.18,2.14,2.18,26.0
2022-03-24,2.18,2.3,2.18,2.3,25.7
2022-03-25,2.3,2.3,2.18,2.25,63.4
2022-03-26,2.25,2.55,2.25,2.5,683.3
2022-03-27,2.5,2.67,2.5,2.67,345.0
2022-03-28,2.67,2.84,2.67,2.82,38.0
2022-03-29,2.82,2.82,2.6,2.64,45.6
2022-03-30,2.64,2.73,2.58,2.69,47.0
2022-03-31,2.69,2.69,2.43,2.53,130.1
2022-04-01,2.53,2.66,2.53,2.66,9.3
2022-04-02,2.66,2.72,2.66,2.72,19.9
2022-04-03,2.72,2.72,2.69,2.69,49.8
2022-04-04,2.69,2.76,2.69,2.76,11.7
2022-04-05,2.76,2.98,2.68,2.8,231.3
2022-04-06,2.8,2.8,2.55,2.55,98.0
2022-04-07,2.55,2.6,2.54,2.6,1224.2
2022-04-08,2.6,2.61,2.53,2.53,80.0
2022-04-09,2.53,2.53,2.46,2.48,54.9
2022-04-10,2.48,2.5,2.48,2.5,5.0
2022-04-11,2.5,2.5,2.47,2.47,11.6
2022-04-12,2.47,2.47,2.43,2.43,20.2
2022-04-13,2.43,2.78,2.43,2.78,24.6
2022-04-14,2.78,2.78,2.66,2.69,870.1
2022-04-15,2.69,2.76,2.69,2.76,29.9
2022-04-16,2.76,2.76,2.71,2.74,804.9
2022-04-17,2.74,2.85,2.74,2.85,13.2
2022-04-18,2.85,2.85,2.62,2.62,10.9
2022-04-19,2.62,2.7,2.62,2.7,79.7
2022-04-20,2.7,2.87,2.7,2.87,67.5
2022-04-21,2.87,2.87,2.74,2.78,450.0
2022-04-22,2.78,2.78,2.71,2.72,16.3
2022-04-23,2.72,2.84,2.72,2.81,12.3
2022-04-24,2.81,2.81,2.81,2.81,0.0
2022-04-25,2.81,2.81,2.61,2.66,1120.4
2022-04-26,2.66,2.86,2.66,2.75,17.0
2022-04-27,2.75,2.85,2.72,2.85,3107.2
2022-04-28,2.85,2.97,2.85,2.97,14.9
2022-04-29,2.97,2.97,2.97,2.97,0.0
2022-04-30,2.97,3.05,2.97,3.04,983.9
2022-05-01,3.04,3.06,2.97,3.0,77.1
2022-05-02,3.0,3.13,3.0,3.12,81.7
2022-05-03,3.12,3.27,3.12,3.27,185.3
2022-05-04,3.27,5.8,3.14,3.5,35513.2
2022-05-05,3.5,3.54,3.25,3.26,2637.2
2022-05-06,3.26,3.3,3.05,3.05,1780.2
2022-05-07,3.05,3.12,2.92,2.98,1534.6
2022-05-08,2.98,2.98,2.74,2.74,152.0
2022-05-09,2.74,2.74,2.37,2.37,129.9
2022-05-10,2.37,2.62,2.37,2.62,2571.0
2022-05-11,2.62,2.62,1.96,1.96,1569.2
2022-05-12,1.96,1.96,1.73,1.73,9764.5
2022-05-13,1.73,2.23,1.73,1.97,152.8
2022-05-14,1.97,2.13,1.97,2.01,54.3
2022-05-15,2.01,2.05,1.98,1.98,151.4
2022-05-16,1.98,1.98,1.98,1.98,0.0
2022-05-17,1.98,1.98,1.84,1.84,124.4
2022-05-18,1.84,1.84,1.76,1.76,15.3
2022-05-19,1.76,1.76,1.54,1.64,371.7
2022-05-20,1.64,1.65,1.54,1.64,350.5
2022-05-21,1.64,1.84,1.64,1.8,180.5
2022-05-22,1.8,1.87,1.77,1.87,357.1
2022-05-23,1.87,1.87,1.78,1.86,179.3
2022-05-24,1.86,1.86,1.75,1.79,100.3
2022-05-25,1.79,1.86,1.79,1.86,618.1
2022-05-26,1.86,1.86,1.8,1.81,393.7
2022-05-27,1.81,1.85,1.74,1.84,6475.7
2022-05-28,1.84,1.84,1.79,1.81,6895.4
2022-05-29,1.81,1.89,1.81,1.89,3697.4
2022-05-30,1.89,2.19,1.89,2.09,3522.5
2022-05-31,2.09,2.23,2.05,2.17,100.8
2022-06-01,2.17,2.17,1.96,1.96,408.6
2022-06-02,1.96,2.01,1.95,2.01,443.2
2022-06-03,2.01,2.01,1.96,1.98,947.9
2022-06-04,1.98,2.0,1.96,1.97,739.8
2022-06-05,1.97,1.99,1.96,1.99,559.0
2022-06-06,1.99,2.02,1.97,1.98,821.6
2022-06-07,1.98,2.01,1.91,1.98,1283.8
2022-06-08,1.98,1.99,1.97,1.98,168.5
2022-06-09,1.98,1.98,1.95,1.96,557.1
2022-06-10,1.96,1.96,1.87,1.87,477.5
2022-06-11,1.87,1.87,1.78,1.8,126.7
2022-06-12,1.8,1.8,1.7,1.75,241.5
2022-06-13,1.75,1.75,1.48,1.51,263.2
2022-06-14,1.51,1.59,1.49,1.57,207.5
2022-06-15,1.57,1.57,1.38,1.38,18.8
2022-06-16,1.38,1.42,1.37,1.37,375.5
2022-06-17,1.37,1.37,1.37,1.37,0.0
2022-06-18,1.37,1.37,1.23,1.23,372.5
2022-06-19,1.23,1.32,1.22,1.32,167.1
2022-06-20,1.32,1.34,1.3,1.31,42671.3
2022-06-21,1.31,3.01,1.3,1.55,218519.2
2022-06-22,1.55,1.55,1.3,1.49,172.9
2022-06-23,1.49,1.49,1.49,1.49,0.0
2022-06-24,1.49,1.49,1.49,1.49,0.0
2022-06-25,1.49,1.49,1.49,1.49,0.0
2022-06-26,1.49,1.49,1.49,1.49,0.0
2022-06-27,1.49,1.49,1.49,1.49,0.0
2022-06-28,1.49,1.49,1.49,1.49,0.0
2022-06-29,1.49,1.49,1.49,1.49,0.0
2022-06-30,1.49,1.49,1.49,1.49,0.0
2022-07-01,1.49,1.49,1.49,1.49,0.0
2022-07-02,1.49,1.49,1.49,1.49,0.0
