timestamp,open,high,low,close,volume
2021-11-30,193.0,206.0,193.0,197.987,52.96
2021-12-01,197.987,208.0,197.651,205.965,182.92
2021-12-02,205.965,213.668,204.134,213.668,108.341
2021-12-03,213.668,215.148,213.668,213.714,19.151
2021-12-04,213.714,214.782,213.351,214.418,3.73
2021-12-05,214.418,214.418,214.418,214.418,1.217
2021-12-06,214.418,214.418,214.418,214.418,0.84
2021-12-07,214.418,214.418,214.418,214.418,0.0
2021-12-08,214.418,214.418,212.989,212.989,2.094
2021-12-09,212.989,212.989,212.628,212.628,0.449
2021-12-10,212.628,213.691,212.628,213.691,0.083
2021-12-11,213.691,213.691,213.691,213.691,0.0
2021-12-12,213.691,213.691,212.628,212.628,0.334
2021-12-13,212.628,213.691,212.628,213.691,0.188
2021-12-14,213.691,214.054,213.691,213.691,1.07
2021-12-15,213.691,214.054,212.989,212.989,0.863
2021-12-16,212.989,214.42,212.989,213.714,1.6
2021-12-17,213.714,213.714,213.714,213.714,0.0
2021-12-18,213.714,213.714,213.714,213.714,1.314
2021-12-19,213.714,213.714,174.511,174.511,346.402
2021-12-20,174.511,174.511,171.639,171.639,35.0
2021-12-21,171.639,175.775,171.639,175.775,30.587
2021-12-22,175.775,177.877,175.775,177.877,32.54
2021-12-23,177.877,180.31,177.877,180.31,30.354
2021-12-24,180.31,180.31,179.412,179.412,0.041
2021-12-25,179.412,179.412,179.412,179.412,0.0
2021-12-26,179.412,180.364,179.412,180.364,1.462
2021-12-27,180.364,180.364,180.364,180.364,1.083
2021-12-28,180.364,180.364,180.364,180.364,0.0
2021-12-29,180.364,180.364,179.412,179.412,1.704
2021-12-30,179.412,179.412,175.965,175.965,34.023
2021-12-31,175.965,175.965,175.965,175.965,0.0
2022-01-01,175.965,176.673,175.965,176.673,0.028
2022-01-02,176.673,176.673,175.965,175.965,2.143
2022-01-03,175.965,175.965,175.965,175.965,0.0
2022-01-04,175.965,175.965,175.965,175.965,0.0
2022-01-05,175.965,175.965,147.833,147.833,394.904
2022-01-06,147.833,202.752,144.113,144.113,302.355
2022-01-07,144.113,499.654,144.113,147.692,39.191
2022-01-08,147.692,148.668,146.722,146.722,1.671
2022-01-09,146.722,148.179,146.239,146.722,2.028
2022-01-10,146.722,147.692,145.463,147.692,4.703
2022-01-11,147.692,147.692,145.758,147.206,1.744
2022-01-12,147.206,147.692,145.463,147.692,3.841
2022-01-13,147.692,147.692,145.758,145.758,2.118
2022-01-14,145.758,145.758,145.758,145.758,0.0
2022-01-15,145.758,145.758,145.463,145.463,0.702
