timestamp,open,high,low,close,volume
2019-05-30,1.621116,1.621116,1.621116,1.621116,0.0
2019-05-31,1.621116,1.621116,1.621116,1.621116,0.0
2019-06-01,9700.0,9770.0,2465.0,4918.0,0.42
2019-06-02,10.0,4938.0,1.55,1.55,225.49
2019-06-03,1.0001,1.55,1.0001,1.55,4.09
2019-06-04,1.55,1.55,1.55,1.55,0.0
2019-06-05,1.4,1.4,1.4,1.4,9.42
2019-06-06,1.4,1.4,1.4,1.4,0.0
2019-06-07,1.4,1.4,1.4,1.4,0.0
2019-06-08,1.4,1.4,1.4,1.4,0.0
2019-06-09,1.4299,1.4544,1.4157,1.4425,13334.26
2019-06-10,1.4623,1.625,1.4481,1.6049,26904.31
2019-06-11,1.5425,1.6028,1.531,1.5802,21171.21
2019-06-12,1.5811,1.7505,1.578,1.7066,53423.6
2019-06-13,1.7044,1.7097,1.5646,1.6005,43953.4
2019-06-14,1.6007,1.6896,1.5769,1.6262,43878.82
2019-06-15,1.6329,1.663,1.6264,1.6333,36568.44
2019-06-16,1.6334,1.7369,1.62,1.6383,35835.15
2019-06-17,1.6459,1.7066,1.6375,1.6919,47033.39
2019-06-18,1.6917,1.6957,1.6197,1.6351,40994.57
2019-06-19,1.6388,1.6956,1.6305,1.6848,35463.79
2019-06-20,1.6873,1.7065,1.6499,1.6855,39899.66
2019-06-21,1.6859,1.7187,1.5729,1.6058,43146.61
2019-06-22,1.599,1.6867,1.5594,1.6518,52634.57
2019-06-23,1.6537,1.6906,1.61,1.6221,43530.74
2019-06-24,1.6195,1.69,1.6,1.6678,41217.28
2019-06-25,1.6718,1.6998,1.6366,1.6587,35577.66
2019-06-26,1.6615,1.9667,1.6529,1.8509,48801.33
2019-06-27,1.844,1.9948,1.6736,1.7698,58755.04
2019-06-28,1.7715,1.85,1.7223,1.8142,45305.56
2019-06-29,1.8104,1.9232,1.7473,1.905,46674.87
2019-06-30,1.915,1.951,1.797,1.7998,48832.06
2019-07-01,1.7923,1.8728,1.661,1.7646,63069.62
2019-07-02,1.7722,1.7733,1.5895,1.7289,49013.04
2019-07-03,1.7368,1.7926,1.7062,1.7787,36087.53
2019-07-04,1.7784,2.0752,1.7017,1.8676,59198.06
2019-07-05,1.8575,1.948,1.8301,1.8576,36889.91
2019-07-06,1.8747,1.9031,1.8528,1.8635,28976.37
2019-07-07,1.851,1.9657,1.8453,1.8908,48956.09
2019-07-08,1.893,1.9786,1.8777,1.89,44126.47
2019-07-09,1.8904,1.9299,1.8401,1.8409,56087.48
2019-07-10,1.842,1.8691,1.6401,1.7037,55973.78
2019-07-11,1.7032,1.783,1.5403,1.7276,53867.18
2019-07-12,1.7276,2.01,1.7164,1.9714,53970.85
2019-07-13,1.9714,2.0628,1.862,1.9903,64015.69
2019-07-14,1.99,2.0266,1.8513,1.8703,56926.47
2019-07-15,1.8711,2.0536,1.8011,1.9647,49950.82
2019-07-16,1.9641,2.092,1.7815,1.7818,61308.55
2019-07-17,1.7892,1.8815,1.7465,1.8418,53639.99
2019-07-18,1.8409,1.9573,1.7991,1.9382,52955.53
2019-07-19,1.9342,2.0232,1.7877,1.995,59815.48
2019-07-20,1.9949,2.0827,1.9547,1.999,63620.13
2019-07-21,1.9985,2.2811,1.9649,2.2049,54117.02
2019-07-22,2.2069,2.6478,2.2065,2.6017,69568.27
2019-07-23,2.6058,2.7642,2.3383,2.4308,71634.78
2019-07-24,2.4293,2.64,2.3194,2.5966,62086.43
2019-07-25,2.5974,2.6989,2.5141,2.5873,51761.44
2019-07-26,2.5876,2.7866,2.515,2.7812,54811.84
2019-07-27,2.7831,2.8684,2.4395,2.5595,64709.09
2019-07-28,2.5539,2.6572,2.44,2.5941,56142.19
2019-07-29,2.5979,2.733,2.5862,2.6949,46152.55
2019-07-30,2.6927,2.773,2.6138,2.7228,39861.31
2019-07-31,2.7231,2.734,2.5495,2.677,60693.24
2019-08-01,2.6769,2.8328,2.6496,2.7885,56035.56
2019-08-02,2.7925,3.1359,2.7584,2.9904,55946.25
